124	1767	25	148.41
309	2139	22	236.73
5926	14	5	6.18
6947	103	6	14.18
7967	105	4	8.86
6679	129	5	34.28
7700	8	4	25.72
354	162	6	15.07
927	674	65	851.17
101	7573	6	7.81
104	4211	14	42.91
109	27347	5	44.42
12	5727	8	11.9
105	4597	6	10.17
7947	12	9	23.23
104	1036	52	134.71
667	153	3	6.49
8	684	8	19.68
3282	115	4	8.69
281	168	6	13
12	3220	37	122.17
102	2492	57	256.44
603	103	30	17.89
108	31802	3	21.21
2640	101	11	4.28
3662	14	6	3.89
22786	107	4	24.19
41004	30761	3	83.22
279	137	8	13.62
103	3047	13	25.41
128	6982	3	16.27
356	131	5	5.86
23886	101	3	10.19
21420	3169	3	54.29
105	4892	5	7.67
1055	1400	6	58.33
4206	17966	3	54.08
153	1026	7	31.84
4125	110	9	32.68
459	2213	3	22.76
20823	12	4	14.49
347	14771	3	35.52
3518	115	4	9.21
460	2	9	9.12
518	2438	3	24.13
4803	208	7	65.42
22302	113	3	20.03
111	13811	4	21.95
152	2088	3	13.08
10177	104	5	15.86
210	45	7	7.6
3178	14	12	17.34
2153	101	17	10.66
8957	112	6	31.21
488	21	3	6.76
6525	103	6	13.41
5497	14	5	5.33
110	10245	3	11.36
102	1401	47	120.08
105	2061	10	10.43
155	17	7	8.19
9132	101	11	34.73
450	4256	4	38.52
12	2589	22	36.72
30895	105	4	29.47
103	7997	10	38.87
12	5093	6	4.96
118	10380	7	49.7
1946	122	4	9.47
101	7175	13	35.46
12	6515	8	14.5
6007	247	7	72.39
577	1670	3	22.26
2622	101	33	71.56
5457	107	4	7.3
509	797	3	17.01
104	1434	63	236.46
6410	103	6	13.04
596	383	9	59.81
9	1680	3	7.12
18658	114	4	26.96
1751	114	4	3.9
3788	118	3	7.85
2870	9	3	10.37
117	13839	3	17.01
104	3284	7	8.69
12	2822	13	12.02
9944	14	4	8.05
2083	659	3	24.57
104	21341	3	13.71
124	5185	4	18.74
126	4396	6	31.36
121	5648	3	11.69
19474	12	4	14.49
1538	3702	7	91.26
309	1927	4	27.8
150	475	7	21.27
149	108	107	76.61
